title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Wahana Estate Sumatra Longberry 2013 Microlot,92,,8,9,8,9,,64/80,"Subtly unusual profile. Very sweet, with unusually pure chocolate notes complicated by strawberry-like fruit and a hint of night-blooming flowers. Round, resonant acidity; lightly syrupy mouthfeel. The pervasive chocolate sensation lasts far into a quietly balanced finish. ",,"Sidikalang growing district, northern Sumatra, Indonesia.",NT $800/200 grams,"Wahana Estate is a relatively new coffee farm in the classic Lintong growing district near Lake Toba. Produced entirely from a variety of Arabica with beans that closely resemble beans of the classic “longberry” variety of the Harrar region of Ethiopia. Processed by the orthodox wet or “washed” method rather than the “wet hulled” method more typical of Sumatra coffees. The Home Barista Workshop is a specialty roaster based in Taipei, Taiwan. The owner, Ricky Chang, provides high-quality, freshly roasted coffee for Taiwan and Hong Kong customers.  Visit www.homebaristaworkshop.com or call +886-975393424 for more information.",October 2013,Light,Home Barista Workshop,"Taipei, Taiwan",https://www.coffeereview.com/review/wahana-estate-sumatra-longberry-2013-microlot/
Guatemala Finca San Jorge Maracaturra,92,,8,8,8,9,,64/81,"Gently pungent, nut-toned. Hazelnut, fresh-cut fir, green grape, roasted cacao nib in aroma and cup. Crisp, delicately lively acidity; silky mouthfeel. Balanced, quietly flavor-saturated finish, gently drying in the long.",,"Palencia, south-central Guatemala.",$18.00/12 ounces,"Maracaturra is a recently developed cross between the huge-beaned Maragogipe and the compact-growing Caturra varieties of Arabica. Water Avenue Coffee is a tiny roastery nestled next to the railway in the old Industrial Southeast quarter in Portland, Oregon. Visit www.wateravenuecoffee.com or call 503-808-7083 for more information.",October 2013,Light,Water Avenue Coffee,"Portland, Oregon",https://www.coffeereview.com/review/guatemala-finca-san-jorge-maracaturra/
Ethiopia Worka,92,,8,9,8,9,,51/63,"Intensely brandy- and chocolate-toned. Dark chocolate, blueberry, pineapple, brandy in aroma and cup. Roundly bright, juicy acidity; syrupy mouthfeel. The chocolate and brandy notes in particular persist in a surprisingly clean, sweet finish.",,"Gedeo Zone, Yirgacheffe growing region, southern Ethiopia.",$16.00/12 ounces,"This coffee is certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. It is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Worka is one of twenty-two primary cooperatives located in the Gedeo Zone of Southern Ethiopia that are organized as the Yirgacheffe Farmers Union. Café Virtuoso is a small-batch coffee roaster that strives to procure, roast and deliver the best quality coffee in San Diego. Visit www.cafevirtuoso.com or call 619-550-1830 for more information.",October 2013,Medium,Cafe Virtuoso,"San Diego, California",https://www.coffeereview.com/review/ethiopia-worka/
Ethiopia Tswana,92,,8,9,8,9,,58/79,"Bright, gently and lyrically complex. Honey, jasmine-like flowers, kiwi-like fruit, a crisp hint of roasted cacao nib. Delicately bright acidity; buoyant, lightly syrupy mouthfeel. Brisk, lightly flavor-saturated finish.    ",,Southern Ethiopia.,$14.95/8 ounces,"Produced from a mix of native Ethiopian heirloom varieties and brought into the U.S. by boutique exporter/importer Ninety Plus Coffee.  Bonlife Coffee is a quality-oriented small-batch coffee roaster located in Cleveland, Tennessee dedicated to the motto “Drink a Better Story.” Bonlife donates 1% of its sales to a variety of environmental programs through its membership in the “1% for the Planet” movement, as well as contributing to other coffee-associated organizations including Water Missions International and Coffee Kids.  Visit www.bonlifecoffee.com or call 423-464-6160 for more information.",October 2013,Medium-Light,Bonlife Coffee,"Cleveland, Tennessee",https://www.coffeereview.com/review/ethiopia-tswana/
Panama Los Lajones Estate Lot 14,92,,8,9,8,9,,51/59,"Rich, intoxicating. Strawberry-like fruit, bourbon whisky, fudgy chocolate in aroma and cup. Juicy acidity; lightly syrupy mouthfeel. Chocolate carries into a clean, gently drying finish.",,"Eastern slopes of Volcan Baru, western Panama.",$19.00/12 ounces,"Certified organically grown on the admirably sustainable Los Lajones farm. From trees of the Caturra and Yellow Catuai varieties of Arabica and processed by the dry or ""natural"" method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",October 2013,Medium,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/panama-los-lajones-estate-lot-14/
Costa Rica Sonora Estate Honey Valencia,92,,8,9,8,9,,52/63,"Balanced, round, classic. Dark chocolate, night-blooming flowers, zesty orange, pecan in aroma and in a very sweet, almost sugary cup. Round, resonant acidity; lightly syrupy, lively mouthfeel. Flavor consolidates in an ongoing sweet-toned but gently drying finish.",,"Central Valley, Costa Rica.",$17.50/12 ounces,"Produced on Sonora Estate from trees of the unusual Valencia variety of Arabica, a compact-growing variety of unknown parentage with characteristics of the admired Bourbon. It was processed by the honey method, meaning the skin was removed from the coffee fruit immediately after picking but the beans or seeds were dried with at least some of the fruit pulp or “honey” still adhering to them. This practice contrasts to the more conventional wet or washed method, wherein both skin and pulp are removed from the beans before drying. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",October 2013,Medium,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/costa-rica-sonora-estate-honey-valencia/
Sumatra Blue Batak Peaberry,94,,8,9,9,9,,53/68,"Complex, deep, pungent. Caramel, sweetly tart red grapefruit, freshly tilled clay, moist pipe tobacco in aroma and cup. Round, resonant acidity; syrupy mouthfeel. Sweetly rich, flavor-saturated finish. ",,"Lintong growing region, North Sumatra, Indonesia.",$16.50/12 ounces,"Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth, fruit and aromatic wood notes that result largely from unorthodox fruit removal and drying practices called “wet hulling.” This coffee is a particularly intense and particularly refined example of the type. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",October 2013,Medium,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/sumatra-blue-batak-peaberry/
Rwanda Abakundakawa,91,,7,9,9,8,,55/71,"Intensely pungent: black currant, orange, dark chocolate with a slight mushroom-like savory edge in the cup. Round, rich acidity. Full, syrupy mouthfeel. The savory pungency carries into a lasting, though simple, finish. ",,Rwanda,NT $550/16 ounces,"Rwanda's impressive potential as fine coffee producer has come to fruition over the past decade owing to the industry of its growers, generous support from international aid agencies, and the commitment of the world’s specialty coffee roasters. Kakalove Café is a nano-roaster located the small city of Chia-Yi in Taiwan that strives to procure, roast best quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",October 2013,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/rwanda-abakundakawa/
Thanksgiving Blend 2013,90,,8,8,8,9,,46/54,"Richly pungent; chocolaty and earthy. Roasted cacao nib, freshly turned earth, plum-like fruit and a carnally sweet floral note reminiscent of heavily scented lilies or trumpet flowers. A salt-savory edge deepens the cup. Flavor resolves toward dark chocolate and vanilla in a gently drying finish.",,Not disclosed.,$13.99/12 ounces,This is a special seasonal blend with limited availability. Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. Roastmaster Brother Java emphasizes his artisan approach to roasting and his commitment to quality.  Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.,October 2013,Medium-Dark,Mystic Monk Coffee,"Clark, Wyoming",https://www.coffeereview.com/review/thanksgiving-blend-2013/
Honduras El Cielito Finca Las Brisas,93,,8,9,9,9,,57/74,"Sweet-toned, deep, balanced. Green apple, night-blooming flowers, hints of hazelnut and roasted cacao nib in aroma and cup. Gently bright, lively acidity; buoyant, silky mouthfeel. Hazelnut and apple carry into a sweet though richly drying finish. ",,"Santa Barbara Department, Honduras.",$16.50/12 ounces,"Produced from trees of the heirloom Bourbon variety and Pacas, a dwarf selection of Bourbon. Finca Las Brisas is a tiny farm that produced only twenty-three 150-pound bags of coffee this year; Victrola Coffee bought the entire lot. Honduras, until recently a largely overlooked Central American coffee origin, has been producing increasing volumes of refined coffee over the past few years. Victrola is a small-batch, hands-on roaster with a passionate commitment to quality and distinctiveness. Visit www.victrolacoffee.com or call 206-624-1725 for more information.",October 2013,Medium-Light,Victrola Coffee Roasters,"Seattle, Washington",https://www.coffeereview.com/review/honduras-el-cielito-finca-las-brisas/
100% Kona High Mountain Io Extra Fancy,94,,8,9,9,9,,55/75,"Richly and sweetly tart fruit – suggesting açai perhaps – dominates in aroma and cup, supported by dark chocolate, pungent cedar and rose-like flowers. Deep, sweet-toned acidity; big, syrupy mouthfeel. Flavor rounds and consolidates in a crisply drying finish.  ",,"Holualoa, North Kona growing district, Hawaii.",$35.95/8 ounces,"This exceptional coffee was selected as the #26 coffee in the Coffee Review Top 30 Coffees of 2013. Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500 foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. This coffee was produced at the higher elevation Hula Daddy farm, and is an Extra Fancy, the highest grade of Kona coffee based on bean size and freedom from physical imperfection. Visit www.huladaddy.com or call 888-553-2339 for more information.",October 2013,Medium-Light,Hula Daddy,"Holualoa, Hawaii",https://www.coffeereview.com/review/100-kona-high-mountain-io-extra-fancy/
Juliette Red Ninety Plus Gesha Estate Panama,94,,8,9,9,9,,53/72,"Juicy, extravagant, deep. Strawberry, port wine, crisp cedar, flowers, vanilla-toned orange in aroma and cup. Sweetly tart, lively acidity; full, syrupy mouthfeel. Flavor consolidates but persists in a sweet, citrusy finish.",,"Silla Del Pando, Volcan, Panama.","KRW 35,000/100 grams","Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also spelled Geisha). With its elegantly elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This is a dry-processed or ""natural"" version of the Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. This particular Gesha is produced on the Ninety Plus Gesha Estates. Namusairo is a boutique café and artisan roaster founded in Seoul, South Korea in 2002. Visit www.namusairo.com for more information.",October 2013,Medium-Light,Namusairo Coffee,"Seoul, South Korea",https://www.coffeereview.com/review/juliette-red-ninety-plus-gesha-estate-panama/
Panama Los Lajones Bambu Geisha Natural,94,,8,9,9,9,,58/75,"High-toned, intense, deliriously complex. Floral notes, roasted cacao nib, almond, strawberry, a pungently sweet hint of sandalwood in aroma and cup. Richly crisp acidity; lively, silky mouthfeel. Flavor consolidates but carries deep into a sweet though rather drying finish.",,"Boquete growing region, western Panama",$59.95/8 ounces,"Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also spelled Geisha). With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This is a dry-processed or ""natural"" Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Paradise Roasters specializes in micro-lot coffees and espressos from Hawaii and other premier coffee growing regions.  The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed.  Visit www.paradiseroasters.com or call 763-433-0626 for more information.",October 2013,Medium-Light,Paradise Roasters,"Ramsey, Minnesota",https://www.coffeereview.com/review/panama-los-lajones-bambu-geisha-natural/
El Injerto Geisha,92,,8,9,8,9,,61/75,"Rich and engaging. Nut-toned chocolate, black cherry, fresh-cut cedar, rose-like flowers in aroma and cup. Crisp acidity; syrupy mouthfeel. The floral note in particular carries into a quiet, resonantly balanced finish.",,"Huehuetenango growing region, Guatemala.",$25.00/8 ounces,"A special auction lot from El Injerto, one of Guatemala’s most celebrated coffee farms, produced entirely from trees of the rare Ethiopia-derived botanical variety Gesha (also spelled Geisha). With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",October 2013,Medium-Light,Bird Rock Coffee Roasters,"La Jolla, California",https://www.coffeereview.com/review/el-injerto-geisha/
Makwa Kenya Nyeri,94,,8,9,9,9,,57/71,"Intense, deep, pungent. Black currant, dark chocolate, almond, honeysuckle in aroma and cup. Powerful, luxuriously lyrical acidity; lightly syrupy mouthfeel. Flavor simplifies but lingers in a resonantly dry finish.",,"Nyeri growing region, south-central Kenya.",$17.99/12 ounces,"Produced entirely from trees of the much admired SL28 variety of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world's most elegant and distinctive coffees. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",October 2013,Medium-Light,Bird Rock Coffee Roasters,"La Jolla, California",https://www.coffeereview.com/review/makwa-kenya-nyeri/
Kenya Gachombe,92,,8,9,8,9,,48/62,"Richly pungent. Black currant, fresh-cut cedar, plum, dark chocolate and a hint of night-blooming flowers in aroma and cup. Crisp, dry acidity; lightly syrupy mouthfeel. Cedar and black currant in particular carry into a sweet though drying finish.",,"Baringo and Nakura Counties, central Kenya.",$18.95/12 ounces,"Gachombe is a cooperative of coffee farmers in the Nakura and Baringo region of Kenya’s rift valley. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world's most elegant and distinctive coffees. Founded in 1990, Lexington Coffee is an award-winning artisan roasting company based in Virginia. Lexington’s focus on fresh, flavorful and sustainable coffee is reflected in its motto, “Fresh, Flavorful &amp; Fair.” Visit www.lexingtoncoffee.com or call 800-322-6505 for more information.",October 2013,Medium,Lexington Coffee Roasters,"Lexington, Virginia",https://www.coffeereview.com/review/kenya-gachombe/
Jamaica Blue Mountain (K-Cup),89,,7,8,8,8,,0/55,"(As brewed in a Keurig B70 Platinum single-serve brewing device using a ""K-Cup"" capsule to produce a 6-ounce serving). Crisp, sweet-toned, delicate. Caramel, apricot, sweet chocolate, fresh-cut fir in aroma and cup. Round, gentle acidity; plush mouthfeel. Flavor consolidates but persists in a rich though slightly drying finish. ",,"Central Blue Mountains, eastern Jamaica.",$32.99/16 K-Cups,"This Blue Mountain is produced by Mavis Bank, one of Jamaica’s oldest, most traditional and most respected coffee mills. Mavis Bank coffees grow at some of the highest growing elevations in the Blue Mountains. This is one of Green Mountain’s Special Reserve line of specially sourced, limited edition coffees. Keurig brewing devices were among the first single-serve brewers on the market, starting in the mid 1990's with office models and now available in five home models with a variety of features and price points. Keurig/Green Mountain, formerly Green Mountain Coffee Roasters, pioneered single-serve capsule brewing in the United States with its Keurig brewing system, and remains one of the country’s leading large specialty roasters, offering a particularly wide-ranging variety of origins and roast styles. Visit www.GreenMountainCoffee.com or call 888-879-4627 for more information.",October 2013,Very Dark,Green Mountain Coffee,"Waterbury, Vermont",https://www.coffeereview.com/review/jamaica-blue-mountain-k-cup/
100% Kona (K-Cup),89,,8,8,7,8,,0/51,"(As brewed in a Keurig B70 Platinum single-serve brewing device using a ""K-Cup"" capsule to produce a 6-ounce serving). Sweet-toned and balanced. Caramelly dark chocolate, apricot-like fruit, a hint of fresh-cut cedar in aroma and cup. Crisp acidity; very lightly syrupy mouthfeel. The chocolate and apricot notes carry into a very sweet though slightly drying finish. ",,"Kona growing region, ""Big Island"" of Hawaii.",$32.99/16 K-Cups,"This fine Kona is produced at Greenwell Farms, one of Kona’s oldest and most respected coffee farms. It is one of Green Mountain’s Special Reserve line of specially sourced, limited edition coffees. Keurig brewing devices were among the first single-serve brewers on the market, starting in the mid 1990's with office models and now available in five home models with a variety of features and price points. Keurig/Green Mountain, formerly Green Mountain Coffee Roasters, pioneered single-serve capsule brewing in the United States with its Keurig brewing system, and remains one of the country’s leading large specialty roasters, offering a particularly wide-ranging variety of origins and roast styles. Visit www.GreenMountainCoffee.com or call 888-879-4627 for more information.",October 2013,Very Dark,Green Mountain Coffee,"Waterbury, Vermont",https://www.coffeereview.com/review/100-kona-k-cup/
100% Kona,90,,8,8,8,8,,49/60,"Balanced, quietly rich. Buttery caramel, hints of dark chocolate, fresh-cut cedar, apricot in aroma and cup. Round but lively acidity; lightly syrupy mouthfeel. Flavor saturates a sweet-toned, resonant finish. ",,"Kona growing region, ""Big Island"" of Hawaii.",$24.99/10 ounces,"This fine Kona is produced at Greenwell Farms, one of Kona’s oldest and most respected coffee farms. It is one of Green Mountain’s Special Reserve line of specially sourced, limited edition coffees. Keurig/Green Mountain, formerly Green Mountain Coffee Roasters, pioneered single-serve capsule brewing in the United States with its Keurig brewing system, and remains one of the country’s leading large specialty roasters, offering a particularly wide-ranging variety of origins and roast styles. Visit www.GreenMountainCoffee.com or call 888-879-4627 for more information.",October 2013,Medium,Green Mountain Coffee,"Waterbury, Vermont",https://www.coffeereview.com/review/100-kona/
Ethiopia Yirgacheffe Harfusa FTO,92,,8,8,9,9,,61/77,"Sweet, silky, subtle. Intriguing halvah-like honey and almond notes in aroma and cup, with delicate floral and apple top notes. Gentle, floral-toned acidity; light but buoyantly lively mouthfeel. Flavor consolidates in a richly sweet-toned though mildly drying finish.",,"Yirgacheffe growing region, southern Ethiopia.",$15.95/12 ounces,"This coffee is certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Paradise Roasters specializes in micro-lot coffees and espressos from Hawaii and other premier coffee growing regions. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed.   Visit www.paradiseroasters.com or call 763-433-0626 for more information.",November 2013,Medium-Light,Paradise Roasters,"Ramsey, Minnesota",https://www.coffeereview.com/review/ethiopia-yirgacheffe-harfusa-fto/
Guatemala El Tambor,93,,9,8,8,9,,58/75,"Sweetly crisp, cleanly layered complexity. Dark chocolate, peach-like fruit, hazelnut, a hint of flowers in aroma and cup. Gently lively, flavor-nuanced acidity; silky mouthfeel. Dark chocolate in particular carries into a long, deep finish. ",,"Palencia, south-central Guatemala.",$15.50/12 ounces,"Finca El Tambor is a distinguished, award-winning Guatemala farm. Caffe Luxxe is an Italian-inflected artisan roaster and retailer that emphasizes both its coffee knowledge and precision and its straightforward lack of pretension. Visit www.caffeluxxe.com or call 310-394-2222 for more information.",November 2013,Medium-Light,Caffe Luxxe,"Santa Monica, California",https://www.coffeereview.com/review/guatemala-el-tambor/
Ethiopia Ninety Plus Nekisse Red,95,,9,9,9,9,,49/66,"Deep, complex, balanced yet extravagant. Ripe plum, honey, crisp roasted cacao nib, orchid-like flowers, a hint of sandalwood in aroma and cup. Delicate, quietly lively acidity; very silky mouthfeel. Flavor saturates a sweet, resonant finish.",,"Sidamo (also Sidama) growing region, southern Ethiopia.",$65.00/12 ounces,"Ninety Plus is a distinguished boutique exporter and importer of innovative small-lot coffees from Ethiopia and Panama. Grown near Neji in the Sidama/Sidamo growing region, this Ethiopian coffee is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Papa Lin's Coffee Roasting is a small, “nano” roaster located in Yorktown Heights, New York, focusing on carefully sourced, extremely high quality specialty coffees, which are custom roasted to the preference of every customer. Visit www.papalins.com for more information.",November 2013,Medium,Papa Lin's Coffee Roasting,"Yorktown Heights, New York",https://www.coffeereview.com/review/ethiopia-ninety-plus-nekisse-red/
Ethiopia Yirgacheffe Kochere Aricha,94,,8,9,9,9,,53/79,"Delicate yet intense; distinctive aromatics. Minty floral notes, sweet chocolate, hints of blueberry and rye whisky in aroma and cup. Gentle but buoyantly vivacious acidity; lively, silky mouthfeel. Flavor consolidates but persists in a slightly drying, whisky-toned finish. ",,"Yirgacheffe growing region, southern Ethiopia.",$12.10/12 ounces,"This exceptional coffee was selected as the #24 coffee in the Coffee Review Top 30 Coffees of 2013. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is rounder and lower-toned than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Mr. Espresso is a San Francisco Bay Area wholesale roaster and espresso parts distributer that slow-roasts its coffees using traditional wood-fired roasting machines. Visit www.mrespresso.com or call 510-287-5200 for more information.",November 2013,Medium-Light,Mr. Espresso,"Oakland, California",https://www.coffeereview.com/review/ethiopia-yirgacheffe-kochere-aricha/
Ethiopia Banko Natural,94,,8,9,9,9,,58/75,"Richly pungent; deep, complex. Strawberry, cedar, night-blooming flowers, dark chocolate, a hint of brandy. Balanced, vibrant acidity; full, syrupy mouthfeel. Flavor, particularly chocolate, saturates a sweet, very slightly drying, finish.",,"Gedeo Zone, Yirgacheffe growing region, southern Ethiopia.",$16.30/12 ounces,"This coffee is certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. It is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Banko, established in 2012, is one of twenty-three primary cooperatives located in the Gedeo Zone of Southern Ethiopia that are organized as the Yirgacheffe Farmers Union. Olympia Coffee Roasting is a small-batch wholesale and retail roasting company with a youthful, no-nonsense style and a commitment to high-quality organic coffees.  Visit www.olympiacoffeeroasting.com or call 360-753-0066 for more information.",November 2013,Medium-Light,Olympia Coffee Roasting,"Olympia, Washington",https://www.coffeereview.com/review/ethiopia-banko-natural/
Nekisse Ethiopia Sidama,93,,8,9,8,9,,67/95,"Delicate, complex, lively. Distinct honey and crisply sweet cacao-nib with lavender-like flowers and an herby hint, cilantro perhaps, in aroma and cup. Lively, floral-toned acidity; very light but silky mouthfeel. Lavender in particular carries into a quietly rich finish.",,"Sidamo (also Sidama) growing region, southern Ethiopia.",$28.95/12 ounces,"Ninety Plus is a distinguished boutique exporter and importer of innovative small-lot coffees from Ethiopia and Panama. Grown near Neji in the Sidama/Sidamo growing region, this Ethiopian coffee is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast.  Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",November 2013,Light,Barrington Coffee Roasting Co.,"Lee, Massachusetts",https://www.coffeereview.com/review/nekisse-ethiopia-sidama/
Ethiopia Aramo Natural,93,,8,8,9,9,,64/89,"Crisply sweet, refreshing, gently complex. Ripe tangerine, cherry, honey, fresh-cut cedar, hints of port wine and dark chocolate in aroma and cup. Lightly rich acidity; lightly syrupy, lively mouthfeel. Flavor consolidates but still saturates a gently drying finish.",,"Yirgacheffe growing region, southern Ethiopia.",$18.00/16 ounces,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is rounder and richer than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Old Soul is a roastery, bakery and crafter of artisan goods dedicated to quality. Visit www.oldsoulco.com or call 916-443-7685 for more information.",November 2013,Light,Old Soul Co.,"Sacramento, California",https://www.coffeereview.com/review/ethiopia-aramo-natural/
Ethiopia Kochere Natural,93,,9,9,8,9,,57/77,"Chocolaty and spicy. Roasted cacao nib, fresh-cut cedar, flowers, a hint of paprika-like spice in aroma and cup. Richly balanced acidity; lightly syrupy mouthfeel. The chocolate-related notes carry deeply into a sweet, gently drying finish. ",,"Yirgacheffe growing region, southern Ethiopia.",HK $200/500 grams,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. A “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor profile that is lower-toned and more pungent than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Barista HK is comprehensive specialty coffee business in Hong Kong that operates cafés, provides training, and produces a wide variety of products including coffees like this one. Email Terry Tse, [email protected], for more information.",November 2013,Medium-Light,Barista HK,"Kwun Tong, Hong Kong, China",https://www.coffeereview.com/review/ethiopia-kochere-natural/
FTO Ethiopia Worka 3 Special Reserve,93,,8,9,9,9,,53/68,"Rich, sweet, intense. Brandy, mint, cherry, dark chocolate in aroma and cup. Round, balanced acidity; full, syrupy mouthfeel. Chocolate in particular persists in a sweet-toned finish. ",,"Gedeo Zone, Yirgacheffe growing region, southern Ethiopia.",$21.50/16 ounces,"This coffee is certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. It is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Worka is one of twenty-three primary cooperatives located in the Gedeo Zone of Southern Ethiopia that are organized as the Yirgacheffe Farmers Union. Yo el Rey Roasting is a retail coffee shop with an in-house roaster located in California's Napa Valley. Yo el Rey (""I the King""?) roasts only organic and Fair Trade certified coffees. Visit www.yoelrey.com or call 707-942-1180 for more information.",November 2013,Medium,Yo el Rey Roasting,"Calistoga, California",https://www.coffeereview.com/review/fto-ethiopia-worka-3-special-reserve/
Ethiopia Natural Yirgacheffe,93,,8,9,8,9,,60/79,"Crisply rich, honey-toned. Honey, roasted cacao nib, wisteria-like flowers, ripe apple, a hint of cumin-like spice in aroma and cup. Roundly tart, juicy acidity; lightly syrupy mouthfeel. The apple-like fruit in particular carries into a simple but rich finish. ",,"Yirgacheffe growing region, southern Ethiopia.",$16.99/12 ounces,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. A “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor profile that is lower-toned and more pungent than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",November 2013,Medium-Light,Bird Rock Coffee Roasters,"La Jolla, California",https://www.coffeereview.com/review/ethiopia-natural-yirgacheffe/
